Содержание,Сервис,Приоритет,Статус,Функциональная группа,Крайний срок,Дата обращения,Тип обращения на момент подачи,Тип обращения итоговый,Решение             ,Тип переклассификации,Дата восстановления,Дата закрытия обращения,Критичность,Влияние,Система,Место,range_time,time_to_solve,koef,numeric_sod,numeric_ans
Система58,Сервис58,1,1,140,2018-02-01 07:51:00,2018-01-26 20:54:00,0,0,Дальнейших действий по запросу не требуется.,0,2018-01-28 17:49,2018-02-07 07:56:00,1,0,4,5,275.03333333333336,130.95,0,1050,431
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-26 21:55:00,0,0,"Добрый день. Контрагент добавлен в справочник Поставщики (подрядчики, исполнители).
При наличии дополнительных вопросов, просьба перезвонить по тел ********",0,2018-01-27 00:05,2018-01-27 01:14:00,2,0,14,157,3.316666666666667,129.93333333333334,0,514,495
Разблокировать учетную запись пользователя Система21,Сервис21,1,1,141,2018-02-01 07:51:00,2018-01-26 22:07:00,0,0,Учетная запись разблокирована.,0,2018-01-27 01:55,2018-02-03 07:52:00,1,0,3,51,177.75,129.73333333333332,0,827,1355
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис9,0,1,79,2018-02-02 07:51:00,2018-01-26 22:33:00,0,0,Работы по обращению выполнены,0,2018-01-27 13:07,2018-02-03 14:27:00,3,0,66,63,183.9,153.3,0,374,1167
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис9,0,1,79,2018-02-02 07:51:00,2018-01-26 22:34:00,0,0,Работы по обращению выполнены,0,2018-01-28 14:55,2018-02-07 07:56:00,3,0,66,158,273.3666666666667,153.28333333333333,0,374,1167
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис9,0,1,79,2018-02-02 07:51:00,2018-01-26 22:34:00,0,0,Работы по обращению выполнены,0,2018-01-28 14:53,2018-02-07 07:56:00,3,0,66,63,273.3666666666667,153.28333333333333,0,374,1167
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис9,0,1,79,2018-02-01 07:51:00,2018-01-26 22:34:00,0,0,Работы по обращению выполнены,0,2018-01-28 14:54,2018-02-07 07:56:00,3,0,66,53,273.3666666666667,129.28333333333333,0,374,1167
Выполнена разблокировка у/з REGION\*****,Сервис7,1,1,0,2018-02-01 07:51:00,2018-01-26 23:15:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-26 23:15,2018-01-26 23:34:00,1,1,0,157,0.31666666666666665,128.6,1,299,282
Изменение атрибута объекта Система7,Сервис7,1,1,8,2018-02-01 07:51:00,2018-01-26 23:18:00,0,0,Атрибут не указан. Действий АИБ не требуется,0,2018-01-28 02:43,2018-02-04 07:53:00,1,0,0,84,200.58333333333334,128.55,0,467,61
Выполнить установку/удаление ПО,АРМ,0,1,13,2018-02-01 07:51:00,2018-01-27 00:15:00,0,0,ПО установлено,0,2018-01-31 05:29,2018-02-07 07:56:00,0,0,1,12,271.68333333333334,127.6,0,307,963
Настройка ЭП в Сервис22,Сервис22,0,1,24,2018-02-01 07:51:00,2018-01-27 00:16:00,0,0,Права предоставлены.,0,2018-01-27 14:16,2018-02-03 15:36:00,3,0,17,23,183.33333333333334,127.58333333333333,0,510,1094
Консультация или решение проблем связанных с сервисами Система13,Сервис13,1,1,142,2018-02-01 07:51:00,2018-01-27 00:30:00,0,0,Пользователь проконсультирован. Создан профиль Система124 для работы Система13 УНЭП,0,2018-01-27 01:16,2018-02-03 07:52:00,1,1,6,51,175.36666666666667,127.35,1,476,1047
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 00:34:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-27 01:27,2018-01-27 02:10:00,2,0,14,159,1.6,127.28333333333333,0,514,466
Изменение состава группы,Сервис7,1,1,8,2018-02-01 07:51:00,2018-01-27 00:48:00,0,0,Объект Система7  NE_BOSS\**************** включен в группу ********** домена NE_BOSS,0,2018-01-27 10:10,2018-02-03 11:30:00,1,0,0,157,178.7,127.05,0,472,904
Разблокировать учетную запись пользователя Система21,Сервис21,1,1,11,2018-02-01 07:51:00,2018-01-27 01:01:00,0,0,Пользователь разблокирован.,0,2018-01-27 01:06,2018-01-27 02:33:00,1,0,3,11,1.5333333333333334,126.83333333333333,0,827,1053
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис12,1,1,105,2018-02-01 07:51:00,2018-01-27 01:09:00,0,0,изменен ответственный,0,2018-01-28 10:11,2018-02-04 11:29:00,1,0,67,160,202.33333333333334,126.7,0,374,1489
Ремонт жалюзи,Сервис73,0,1,143,2018-02-01 07:51:00,2018-01-27 01:27:00,0,0,Жалюзи отремонтированы.,0,2018-01-27 06:19,2018-01-28 01:32:00,0,0,24,84,24.083333333333332,126.4,0,931,674
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 01:34:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-27 01:52,2018-02-03 07:52:00,2,0,14,1,174.3,126.28333333333333,0,514,466
Заявка на право подписание ЭП для подотчетных лиц,Сервис22,0,1,144,2018-02-01 07:51:00,2018-01-27 01:38:00,0,0,"Дополнительная настройка произведена. Заявка на ПЭП составлена, зарегистрирована и отправлена.",0,2018-01-27 04:25,2018-01-27 04:34:00,3,1,17,84,2.933333333333333,126.21666666666667,3,362,553
Изменение состава группы,Сервис7,1,1,8,2018-02-01 07:51:00,2018-01-27 01:57:00,0,0,Объект ЕСК  NE_BOSS\**************** исключен из группы *********** домена ne_Boss,0,2018-01-27 03:01,2018-01-28 05:06:00,1,0,0,7,27.15,125.9,0,472,903
Сброс пароля,Сервис7,1,1,0,2018-02-01 07:51:00,2018-01-27 02:06:00,0,0,Выполнен сброс пароля для УЗ ************. Пользователь идентифицирован.,0,2018-01-27 02:31,2018-01-27 05:22:00,1,1,0,9,3.2666666666666666,125.75,1,1031,198
ПЭВМ   заблокирован системой защиты,АРМ,0,1,13,2018-02-01 07:51:00,2018-01-27 02:06:00,0,0," Личность пользователя идентифицирована
Причина нарушения: Другая
Выполнена разблокировка учетной записи:  ne_Boss\***********",0,2018-01-27 02:36,2018-01-31 08:45:00,0,1,1,12,102.65,125.75,0,583,16
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис11,0,1,8,2018-01-31 09:51:00,2018-01-27 02:12:00,0,0,Работы по обращению выполнены,0,2018-01-27 05:52,2018-02-03 07:52:00,0,0,19,12,173.66666666666666,103.65,0,374,1167
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,0,1,8,2018-01-31 05:51:00,2018-01-27 02:23:00,0,0,Работы по обращению выполнены,0,2018-01-28 11:07,2018-02-04 12:28:00,3,0,15,39,202.08333333333334,99.46666666666667,0,374,1167
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис181,1,1,145,2018-02-01 07:51:00,2018-01-27 02:29:00,0,0,Права предоставлены.,0,2018-01-27 11:26,2018-02-03 12:49:00,1,0,68,128,178.33333333333334,125.36666666666666,0,374,1094
Система58Забракованные исходящие ЭС,Сервис58,1,1,146,2018-02-09 09:36:00,2018-01-27 02:40:00,1,0,"РС подтвердил ошибку.
Созданы ********* и заявка № **********",2,2018-02-07 05:49,2018-02-14 07:52:00,1,0,4,5,437.2,318.93333333333334,0,1052,1149
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 02:48:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-27 03:04,2018-01-27 06:28:00,2,0,14,1,3.6666666666666665,125.05,0,514,466
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,1,1,8,2018-01-31 06:53:00,2018-01-27 03:01:00,0,0,Ярлык после повторного подключения,0,2018-01-28 08:23,2018-01-28 08:24:00,1,0,6,15,29.383333333333333,99.86666666666666,0,374,1410
Разблокировать учетную запись пользователя Система21,Сервис21,1,1,147,2018-02-01 07:51:00,2018-01-27 03:05:00,0,0,Работы выполнены,0,2018-01-27 03:23,2018-02-03 07:52:00,1,0,3,161,172.78333333333333,124.76666666666667,0,827,1154
 4эт,Сервис37,0,1,148,2018-02-01 07:51:00,2018-01-27 03:17:00,0,0,Решен,0,2018-01-29 14:24,2018-01-29 14:25:00,0,0,69,32,59.13333333333333,124.56666666666666,0,11,1190
Запрос на организацию БРМ,АРМ,0,1,149,2018-02-02 23:36:00,2018-01-27 03:22:00,0,0,Работы по обращению выполнены,0,2018-02-01 22:04,2018-02-09 07:54:00,0,0,1,159,316.53333333333336,164.23333333333332,0,335,1167
Выполнена разблокировка у/з REGION\*****,Сервис7,1,1,0,2018-02-01 07:51:00,2018-01-27 03:23:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-27 03:23,2018-01-27 05:10:00,1,1,0,21,1.7833333333333334,124.46666666666667,1,299,282
"Заявка Сервис27  зависла в стадии ""Ожидает утверждения""",Сервис11,0,1,20,2018-02-01 04:17:00,2018-01-27 03:25:00,0,1,По заявке *********** создан инцидент №******************,1,2018-01-27 06:08,2018-01-27 06:29:00,0,1,19,2,3.066666666666667,120.86666666666666,0,348,1000
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 03:28:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-27 04:06,2018-01-27 04:08:00,2,1,14,24,0.6666666666666666,124.38333333333334,2,514,466
Сообщить об ошибке/неисправности Система18,Сервис18,0,1,15,2018-01-31 12:36:00,2018-01-27 03:35:00,1,0,"Добрый день. Контрагент добавлен в справочник Поставщики (подрядчики, исполнители).
При наличии дополнительных вопросов, просьба перезвонить по тел ********",2,2018-01-27 04:03,2018-01-27 06:51:00,2,0,14,8,3.2666666666666666,105.01666666666667,0,1070,495
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис4,0,1,70,2018-02-02 07:51:00,2018-01-27 03:39:00,0,0,Работы по обращению выполнены,0,2018-02-01 02:24,2018-02-08 07:55:00,3,0,70,78,292.26666666666665,148.2,0,374,1167
Обнаружено нарушение целостности при обработке задания СЗИ SN,Сервис287,0,1,29,2018-02-01 07:51:00,2018-01-27 03:41:00,0,0,Выполнен пересчет задания КЦ.,0,2018-01-31 05:47,2018-02-07 07:56:00,0,0,11,29,268.25,124.16666666666667,0,562,162
Замена/добавление Сертификат на сервере Система13,Сервис13,1,1,8,2018-02-01 07:51:00,2018-01-27 04:00:00,0,0,Сертификат-файл зарегистрирован,0,2018-01-27 14:52,2018-02-04 07:11:00,1,0,6,162,195.18333333333334,123.85,0,330,1231
71.Запрос.Разблокировать учетную запись пользователя Система21,Сервис21,1,1,150,2018-02-01 07:51:00,2018-01-27 04:01:00,0,0,Работы по обращению выполнены,0,2018-01-27 04:28,2018-02-03 07:52:00,1,0,3,21,171.85,123.83333333333333,0,209,1167
Отсутствует загрузка ОС на ноутбуке,АРМ,0,1,26,2018-02-04 06:54:00,2018-01-27 04:01:00,0,1,"Причина: Отсутствует загрузка ОС на ноутбуке
Решение: Выполнена замена жесткого диска. Оборудование работает в штатном режиме. Закрытие инцидента с пользователем согласовано.",1,2018-02-01 06:58,2018-02-08 08:23:00,0,1,1,24,292.3666666666667,194.88333333333333,0,570,1119
Разблокировка учётной записи,Сервис7,1,1,0,2018-02-01 07:51:00,2018-01-27 04:13:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-27 04:45,2018-02-03 07:52:00,1,1,0,163,171.65,123.63333333333334,1,858,12
Контроль ПУ. Заявка на доступ к портам.,Сервис2,0,1,85,2018-02-01 07:51:00,2018-01-27 04:14:00,0,0,Доступ предоставлен в соответствии с заявкой.,0,2018-01-27 04:39,2018-02-03 07:52:00,0,0,11,39,171.63333333333333,123.61666666666666,0,495,634
Настройка ЭП в Сервис22,Сервис22,0,1,24,2018-02-01 07:51:00,2018-01-27 04:14:00,0,0,Выполнено,0,2018-01-27 13:30,2018-01-27 22:06:00,3,0,17,84,17.866666666666667,123.61666666666666,0,510,313
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 04:17:00,0,0,"Для решения вашего обращения создана новая версия договора в статусе ""проект"". Вам необходимо войти в договор нажав на «Сведения договора» найти на вкладке «Редакции/Версии договора» строку «проект и нажать Редактировать». В этой версии Вы вносите все исправления и заполняете обязательные поля, помеченный красной звездочкой. Регистрируете договор.",0,2018-01-27 09:07,2018-02-03 10:29:00,2,0,14,20,174.2,123.56666666666666,0,514,458
Контроль ПУ. Заявка на доступ к портам.,Сервис2,0,1,151,2018-02-11 13:36:00,2018-01-27 04:18:00,0,0,Пользователю предоставлен доступ согласно заявки Система500,0,2018-02-02 05:36,2018-02-09 08:56:00,0,0,11,102,316.6333333333333,369.3,0,495,1077
Запрос на организацию БРМ,АРМ,0,1,152,2018-02-04 10:36:00,2018-01-27 04:29:00,0,0,Работы по обращению выполнены,0,2018-02-01 07:26,2018-02-08 08:44:00,0,0,1,164,292.25,198.11666666666667,0,335,1167
Запрос на организацию БРМ,АРМ,0,1,149,2018-02-06 23:51:00,2018-01-27 04:33:00,0,0,Работы по обращению выполнены,0,2018-02-01 22:05,2018-02-09 08:41:00,0,0,1,159,316.1333333333333,259.3,0,335,1167
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 04:34:00,0,0,"В справочник ""поставщики"" добавлен поставщик.",0,2018-01-27 09:12,2018-01-27 23:14:00,2,0,14,0,18.666666666666668,123.28333333333333,0,514,96
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 04:52:00,0,0,"Добрый день. Контрагент добавлен в справочник Поставщики (подрядчики, исполнители).
При наличии дополнительных вопросов, просьба перезвонить по тел ********",0,2018-01-27 05:04,2018-01-27 05:26:00,2,0,14,159,0.5666666666666667,122.98333333333333,0,514,495
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис11,0,1,8,2018-02-01 03:07:00,2018-01-27 04:52:00,0,0,Работы по обращению выполнены,0,2018-01-28 10:23,2018-01-28 10:47:00,0,0,19,102,29.916666666666668,118.25,0,374,1167
"Выполнить установку и настройку Система500, Система22",АРМ,0,1,153,2018-02-01 07:51:00,2018-01-27 04:55:00,0,0,"ПО установлено и настроно
#УстановитьПрикладноеПО",0,2018-01-27 05:57,2018-01-27 06:01:00,0,1,1,35,1.1,122.93333333333334,0,306,967
Сообщить об ошибке/неисправности Система18,Сервис18,0,1,15,2018-01-31 12:36:00,2018-01-27 04:56:00,1,0,"Период исполнения договора скорректирован.
При наличии дополнительных вопросов, просьба перезвонить по тел.*****",2,2018-01-28 00:51,2018-02-04 07:53:00,2,0,14,16,194.95,103.66666666666667,0,1070,992
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 04:56:00,0,0,"Добрый день. Контрагент добавлен в справочник Поставщики (подрядчики, исполнители).
При наличии дополнительных вопросов, просьба перезвонить по тел ********",0,2018-01-27 05:42,2018-01-27 06:04:00,2,0,14,15,1.1333333333333333,122.91666666666667,0,514,495
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 05:02:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-27 05:46,2018-02-03 07:52:00,2,0,14,20,170.83333333333334,122.81666666666666,0,514,466
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,0,1,8,2018-01-31 08:10:00,2018-01-27 05:06:00,0,0,Работы по обращению выполнены,0,2018-01-28 06:56,2018-02-04 08:19:00,3,0,15,165,195.21666666666667,99.06666666666666,0,374,1167
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 05:07:00,0,0,"Добрый день. Контрагент добавлен в справочник Поставщики (подрядчики, исполнители).
При наличии дополнительных вопросов, просьба перезвонить по тел ********",0,2018-01-27 05:12,2018-01-27 05:25:00,2,0,14,159,0.3,122.73333333333333,0,514,495
Замена/добавление Сертификат на сервере Система13,Сервис13,1,1,8,2018-02-01 07:51:00,2018-01-27 05:10:00,0,0,Сертификат-файл зарегистрирован,0,2018-01-28 11:05,2018-02-04 12:21:00,1,0,6,164,199.18333333333334,122.68333333333334,0,330,1231
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,0,1,8,2018-02-01 07:51:00,2018-01-27 05:10:00,0,0,Заявка загружена в Система22,0,2018-01-27 06:31,2018-01-27 07:08:00,3,0,17,2,1.9666666666666666,122.68333333333334,0,374,792
Ярлыки Система13,АРМ,0,1,58,2018-02-01 07:51:00,2018-01-27 05:22:00,0,0,Ярлыки восстановлены,0,2018-01-31 11:23,2018-02-07 12:43:00,0,1,1,35,271.35,122.48333333333333,0,1182,1411
Контроль ПУ. Заявка на доступ к портам.,Сервис2,0,1,108,2018-02-01 07:51:00,2018-01-27 05:23:00,0,0,Доступ к портам в/в предоставлен,0,2018-02-01 06:56,2018-02-01 09:11:00,0,0,11,47,123.8,122.46666666666667,0,495,577
[2] Ошибка при входе пользователей в Система21 на этапе загрузки справочника НСИ,Сервис21,1,1,93,2018-02-02 20:36:00,2018-01-27 05:24:00,1,0,Реконфигурирование работы кластера серверов БД Система21,2,2018-01-31 17:36,2018-02-08 08:51:00,1,1,3,26,291.45,159.2,1,261,1187
"Согласующему заявок не поступает сообщение по почте, и он эти заявки не видит.",Сервис11,0,1,20,2018-02-01 06:12:00,2018-01-27 05:24:00,0,1,"причина - некорректная работа автосогласования.
Заявки направлены на согласование, от Система11 согласующему были направлены уведомления",1,2018-01-27 08:01,2018-01-27 08:03:00,0,1,19,37,2.65,120.8,0,1064,1520
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,0,1,8,2018-02-01 06:58:00,2018-01-27 05:43:00,0,0,Работы по обращению выполнены,0,2018-01-28 11:54,2018-02-04 13:10:00,3,0,15,7,199.45,121.25,0,374,1167
Изменение атрибутов учётной записи,Сервис7,1,1,8,2018-02-01 07:51:00,2018-01-27 05:45:00,0,0,"Изменение атрибута ""телефон"" для УЗ ************ выполнено.",0,2018-01-27 06:43,2018-01-27 07:02:00,1,0,0,35,1.2833333333333334,122.1,0,468,817
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,0,1,8,2018-02-04 06:36:00,2018-01-27 05:46:00,0,0,Работы по обращению выполнены,0,2018-02-01 10:37,2018-02-08 11:53:00,0,0,13,45,294.1166666666667,192.83333333333334,0,374,1167
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,0,1,8,2018-02-01 07:01:00,2018-01-27 05:46:00,0,0,Работы по обращению выполнены,0,2018-01-27 09:33,2018-02-03 10:49:00,0,0,13,45,173.05,121.25,0,374,1167
Ремонт кресла,Сервис73,0,1,154,2018-02-01 07:51:00,2018-01-27 05:46:00,0,0,выполнено,0,2018-01-27 09:41,2018-02-03 11:01:00,0,0,24,21,173.25,122.08333333333333,0,959,1441
Включение учётной записи,Сервис7,1,1,8,2018-02-01 07:51:00,2018-01-27 05:52:00,0,0,Включение УЗ ********** выполнено.,0,2018-01-27 06:52,2018-01-27 06:54:00,1,0,0,166,1.0333333333333334,121.98333333333333,0,290,113
[2] Пользователи жалуются на медленную работу в Система21,Сервис21,1,1,93,2018-01-27 10:36:00,2018-01-27 05:52:00,1,1,Самовосстановление,0,2018-01-27 07:59,2018-02-03 09:20:00,1,1,3,59,171.46666666666667,4.733333333333333,1,262,1218
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 05:52:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-27 06:01,2018-01-27 07:04:00,2,1,14,21,1.2,121.98333333333333,2,514,466
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-02-01 07:51:00,2018-01-27 05:53:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-27 05:59,2018-01-27 06:47:00,2,0,14,40,0.9,121.96666666666667,0,514,466
[2] СРОЧНО!!!! НЕ МОЖЕМ ВОЙТИ В Система21.,Сервис21,1,1,93,2018-01-27 10:36:00,2018-01-27 05:55:00,1,1,Самовосстановление,0,2018-01-27 07:48,2018-02-03 09:05:00,1,1,3,26,171.16666666666666,4.683333333333334,1,263,1218
Контроль ПУ. Заявка на доступ к портам.,Сервис2,0,1,33,2018-02-01 07:51:00,2018-01-27 06:01:00,0,0,Пользователю предоставлен доступ согласно заявки Система500,0,2018-01-27 09:33,2018-02-03 10:49:00,0,0,11,101,172.8,121.83333333333333,0,495,1077
Ремонт шкафа,Сервис73,0,1,101,2018-02-01 07:51:00,2018-01-27 06:01:00,0,0,Дверь шкафа установлена,0,2018-01-27 07:37,2018-01-27 09:34:00,0,0,24,62,3.55,121.83333333333333,0,1017,453
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,0,1,8,2018-02-01 07:20:00,2018-01-27 06:05:00,0,0,Работы по обращению выполнены,0,2018-01-27 09:55,2018-01-27 11:27:00,0,0,13,11,5.366666666666666,121.25,0,374,1167
Письмо Random5640Заявка,АРМ,0,1,41,2018-02-01 07:51:00,2018-01-27 06:13:00,0,0,Исполнено.,0,2018-01-28 08:04,2018-01-28 10:06:00,0,1,1,59,27.883333333333333,121.63333333333334,0,667,830
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис71,0,1,8,2018-01-31 07:28:00,2018-01-27 06:13:00,0,0,Работы по обращению выполнены,0,2018-01-27 09:18,2018-01-27 12:12:00,0,0,10,154,5.983333333333333,97.25,0,374,1167
Разблокировка пользователя,Сервис21,1,1,155,2018-02-01 07:51:00,2018-01-27 06:13:00,0,0,Заявка выполнена.,0,2018-01-27 06:22,2018-02-03 07:52:00,1,1,3,108,169.65,121.63333333333334,1,848,783
Длительная загрузка,Сервис99,0,1,156,2018-01-31 12:36:00,2018-01-27 06:15:00,0,1,Работоспособность восстановлена после перезагрузки сервера (в рамках инцидента №******************),1,2018-01-28 06:51,2018-02-04 08:19:00,1,0,35,102,194.06666666666666,102.35,0,315,1152
Разблокировка  пароля  УЗ домен NE_BOSS\*****,Сервис7,1,1,0,2018-02-01 07:51:00,2018-01-27 06:19:00,0,0,"Разблокировка  пароля  УЗ домен NE_BOSS\*****
Причина не установлена
",0,2018-01-27 06:19,2018-02-03 07:52:00,1,1,0,167,169.55,121.53333333333333,1,829,1172
"чрезмерно длительное ожидание отклика программы (""зависание"")",Сервис99,1,1,62,2018-02-01 07:51:00,2018-01-27 06:19:00,1,0,Добавление процессоров на сервере Система500 с 24х до 32х. Последующая перезагрузка сервера.,2,2018-01-27 11:27,2018-02-03 12:43:00,1,1,35,13,174.4,121.53333333333333,1,1297,462
