,Содержание,Сервис,Приоритет,Статус,Функциональная группа,Крайний срок,Дата обращения,Тип обращения на момент подачи,Тип обращения итоговый,Решение             ,Тип переклассификации,Дата восстановления,Дата закрытия обращения,Критичность,Влияние,Система,Место,range_time,numeric_sod,numeric_ans,time_to_solve
2010,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-02 03:29,2018-01-31 03:29:00,0,0,Работы по обращению выполнены,0,2018-01-31 12:43:00,2018-02-07 13:58:00,1,4,13,7,178.48333333333332,374,1167,48.0
2011,Консультация или решение проблем связанных с сервисами Система13,Сервис13,2,1,21,2018-02-03 06:36,2018-01-31 03:38:00,0,0,Выполнено. Ярлык ИМА Планирование вынесен на рабочий стол.,0,2018-01-31 07:44:00,2018-02-07 09:03:00,1,3,13,219,173.41666666666666,476,387,74.96666666666667
2012,Изменение состава группы,Сервис7,2,1,8,2018-02-03 06:36,2018-01-31 03:40:00,0,0,Объект ЕСК  NE_BOSS\**************** исключен из группы *********** домена ne_Boss,0,2018-01-31 04:13:00,2018-01-31 04:42:00,1,4,7,2,1.0333333333333334,472,903,74.93333333333334
2013,Консультация или решение проблем связанных с сервисами Система13,Сервис13,2,1,21,2018-02-03 06:36,2018-01-31 03:40:00,0,0,Выполнено. Ярлык ИМА Планирование размещен на рабочий стол.,0,2018-01-31 07:46:00,2018-02-07 07:57:00,1,3,13,219,172.28333333333333,476,388,74.93333333333334
2014,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-02-03 06:36,2018-01-31 03:42:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-31 04:05:00,2018-02-07 07:56:00,3,3,18,73,172.23333333333332,514,466,74.9
2015,Замена/добавление Сертификат на сервере Система13,Сервис13,2,1,8,2018-02-03 06:36,2018-01-31 03:50:00,0,0,Сертификат-файл зарегистрирован,0,2018-01-31 07:12:00,2018-01-31 07:58:00,1,4,13,121,4.133333333333334,330,1231,74.76666666666667
2016,Замена/добавление Сертификат на сервере Система13,Сервис13,2,1,8,2018-02-03 06:36,2018-01-31 03:55:00,0,0,Сертификат-файл зарегистрирован,0,2018-01-31 07:12:00,2018-01-31 08:12:00,1,4,13,121,4.283333333333333,330,1231,74.68333333333334
2017,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,12,2018-02-03 06:36,2018-01-31 03:58:00,0,0,Доступ предоставлен согласно заявке,0,2018-01-31 08:47:00,2018-02-07 10:04:00,4,4,2,7,174.1,495,642,74.63333333333334
2018,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-02-03 06:36,2018-01-31 04:00:00,0,0,"Добрый день. Контрагент добавлен в справочник Поставщики (подрядчики, исполнители).
При наличии дополнительных вопросов, просьба перезвонить по тел ********",0,2018-01-31 04:22:00,2018-01-31 04:43:00,3,4,18,14,0.7166666666666667,514,495,74.6
2019,Выполнена разблокировка у/з REGION\*****,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 04:02:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-31 04:02:00,2018-02-07 08:13:00,1,3,7,31,172.18333333333334,299,282,74.56666666666666
2020,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,267,2018-02-03 06:36,2018-01-31 04:07:00,0,0,данные предоставлены,0,2018-01-31 05:36:00,2018-02-10 07:53:00,4,4,2,179,243.76666666666668,495,1454,74.48333333333333
2021,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-02-03 06:36,2018-01-31 04:16:00,0,0,"Добрый день. Контрагент добавлен в справочник Поставщики (подрядчики, исполнители).
При наличии дополнительных вопросов, просьба перезвонить по тел ********",0,2018-01-31 04:27:00,2018-01-31 04:39:00,3,4,18,15,0.3833333333333333,514,495,74.33333333333333
2022,Замена/добавление Сертификат на сервере Система13,Сервис13,2,1,8,2018-02-03 06:36,2018-01-31 04:16:00,0,0,Сертификат-файл зарегистрирован,0,2018-01-31 07:12:00,2018-02-07 08:43:00,1,4,13,20,172.45,330,1231,74.33333333333333
2023,Регистрация файла *.Сертификат,Сервис13,2,1,15,2018-02-03 06:36,2018-01-31 04:22:00,0,0,Сертификат-файл зарегистрирован,0,2018-01-31 07:12:00,2018-02-07 08:43:00,1,4,13,1,172.35,880,1231,74.23333333333333
2024,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-02 04:39,2018-01-31 04:39:00,0,0,Работы по обращению выполнены,0,2018-01-31 12:48:00,2018-02-07 14:04:00,1,4,13,220,177.41666666666666,374,1167,48.0
2025,Элемент питания для настенных часов,Сервис73,3,1,268,2018-02-03 06:36,2018-01-31 04:39:00,0,0,Батарейка выдана.,0,2018-01-31 04:58:00,2018-02-07 07:56:00,4,4,71,78,171.28333333333333,1178,64,73.95
2026,Разгрузка машины,Сервис73,3,1,35,2018-02-03 06:36,2018-01-31 04:40:00,0,0,Выполнено,0,2018-01-31 09:05:00,2018-01-31 12:14:00,4,4,71,32,7.566666666666666,863,313,73.93333333333334
2027,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,167,2018-02-03 06:36,2018-01-31 04:41:00,0,0,доступ предоставлен согласно заявке,0,2018-01-31 08:42:00,2018-02-07 09:58:00,4,4,2,17,173.28333333333333,495,1465,73.91666666666667
2028,Заблокировать учетную запись пользователя Система21,Сервис21,2,1,108,2018-02-03 06:36,2018-01-31 04:42:00,0,0,Учетная запись пользователя заблокирована,0,2018-01-31 04:51:00,2018-02-07 07:56:00,1,4,21,47,171.23333333333332,323,1352,73.9
2029,Выполнена разблокировка у/з REGION\*****,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 04:46:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-31 04:46:00,2018-01-31 04:55:00,1,3,7,24,0.15,299,282,73.83333333333333
2030,Часы.,Сервис73,3,1,143,2018-02-03 06:36,2018-01-31 04:46:00,0,0,Часы установлены в соответствии с заявкой,0,2018-01-31 04:52:00,2018-01-31 05:37:00,4,4,71,84,0.85,1143,1395,73.83333333333333
2031,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-02 04:49,2018-01-31 04:49:00,0,0,Работы по обращению выполнены,0,2018-01-31 12:50:00,2018-01-31 12:55:00,1,4,13,102,8.1,374,1167,48.0
2032,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-02 04:49,2018-01-31 04:49:00,0,0,Работы по обращению выполнены,0,2018-01-31 12:53:00,2018-02-07 14:10:00,1,4,13,102,177.35,374,1167,48.0
2033,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-02 04:50,2018-01-31 04:50:00,0,0,Работы по обращению выполнены,0,2018-01-31 12:59:00,2018-02-07 14:16:00,1,4,13,102,177.43333333333334,374,1167,48.0
2034,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис12,2,1,70,2018-02-02 06:36,2018-01-31 04:53:00,0,0,Работы по обращению выполнены,0,2018-01-31 11:40:00,2018-01-31 12:17:00,1,4,466,37,7.4,374,1167,49.71666666666667
2035,Выполнена разблокировка у/з REGION\*****,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 04:54:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-31 04:54:00,2018-02-07 07:56:00,1,3,7,124,171.03333333333333,299,282,73.7
2036,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-02 05:00,2018-01-31 05:00:00,0,0,Работы по обращению выполнены,0,2018-01-31 13:03:00,2018-02-07 14:22:00,1,4,13,51,177.36666666666667,374,1167,48.0
2037,Просим вывезти мешок с макулатурой,Сервис73,3,1,35,2018-02-03 06:36,2018-01-31 05:02:00,0,0,Выполнено,0,2018-02-02 05:48:00,2018-02-09 08:56:00,4,4,71,32,219.9,785,313,73.56666666666666
2038,Выполнена разблокировка у/з REGION\*****,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 05:02:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-31 05:02:00,2018-02-07 07:56:00,1,3,7,21,170.9,299,282,73.56666666666666
2039,Отключение учётной записи,Сервис7,2,1,8,2018-02-03 06:36,2018-01-31 05:05:00,0,0,выполнено штатное отключение УЗ nE_BoSS\****************,0,2018-01-31 05:08:00,2018-01-31 05:31:00,1,4,7,102,0.4333333333333333,565,1445,73.51666666666667
2040,Заблокировать учетную запись пользователя Система21,Сервис21,2,1,269,2018-02-03 06:36,2018-01-31 05:05:00,0,0,Учетная запись пользователя заблокирована,0,2018-01-31 08:37:00,2018-02-07 10:58:00,1,4,21,221,173.88333333333333,323,1352,73.51666666666667
2041,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,167,2018-02-03 06:36,2018-01-31 05:06:00,0,0,Доступ к комм. портам предоставлен согласно заявке.,0,2018-02-01 03:36:00,2018-02-08 07:55:00,4,4,2,17,194.81666666666663,495,572,73.5
2042,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,167,2018-02-03 06:36,2018-01-31 05:06:00,0,0,Выполнил,0,2018-01-31 06:42:00,2018-02-07 08:43:00,4,4,2,17,171.61666666666667,495,407,73.5
2043,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-02 05:08,2018-01-31 05:08:00,0,0,Работы по обращению выполнены,0,2018-02-01 05:44:00,2018-02-08 07:55:00,2,4,101,12,194.78333333333333,374,1167,48.0
2044,Контроль ПУ. Заявка на доступ к портам.,Сервис2,3,1,167,2018-02-03 06:36,2018-01-31 05:08:00,0,0,Выполнил,0,2018-02-01 07:26:00,2018-02-08 08:44:00,4,4,2,203,195.6,495,407,73.46666666666667
2045,Разблокировать УЗ NE_BOSS\******,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 05:11:00,0,0,"Разблокирована УЗ NE_BOSS\**********. Пользователь ***************** идентифицирован, тел. Успешный вход выполнен.",0,2018-01-31 05:11:00,2018-02-07 07:56:00,1,3,7,222,170.75,810,1171,73.41666666666667
2046,Выполнить установку ПО,АРМ,3,1,84,2018-02-03 06:36,2018-01-31 05:12:00,0,0,Успешно выполнено,0,2018-02-01 05:06:00,2018-02-08 07:55:00,4,4,0,97,194.71666666666667,304,1313,73.4
2047,Система24. Общие вопросы,Сервис43,2,1,27,2018-02-03 06:36,2018-01-31 05:13:00,0,0,Пользователь проинформирован о внесённом сопровождении по электронной почте,0,2018-01-31 14:29:00,2018-02-08 06:49:00,1,3,24,25,193.6,1044,1028,73.38333333333334
2048,Замена/добавление Сертификат на сервере Система13,Сервис13,2,1,8,2018-02-03 06:36,2018-01-31 05:16:00,0,0,Сертификат-файл зарегистрирован,0,2018-01-31 07:12:00,2018-02-07 08:43:00,1,4,13,78,171.45,330,1231,73.33333333333333
2049,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-02 05:19,2018-01-31 05:19:00,0,0,Работы по обращению выполнены,0,2018-01-31 13:11:00,2018-02-07 14:28:00,1,4,13,20,177.15,374,1167,48.0
2050,Выполнена разблокировка у/з BOSS\*****,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 05:19:00,0,0," Личность пользователя идентифицирована
Причина нарушения: Другая
Выполнена разблокировка учетной записи:  ne_Boss\***********",0,2018-01-31 05:19:00,2018-02-07 07:56:00,1,3,7,53,170.61666666666667,297,16,73.28333333333333
2051,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис71,3,1,8,2018-02-02 10:06,2018-01-31 05:19:00,0,0,Работы по обращению выполнены,0,2018-02-01 00:24:00,2018-02-08 07:55:00,4,4,138,73,194.6,374,1167,52.78333333333333
2052,"Заявка № ***********, *******************",Сервис58,2,1,16,2018-02-04 05:21,2018-01-31 05:21:00,0,0,Работы по обращению выполнены,0,2018-02-01 04:13:00,2018-02-08 07:55:00,1,4,58,15,194.56666666666663,458,1167,96.0
2053,"Заявка № ***********, *******************",Сервис21,2,1,16,2018-02-04 05:21,2018-01-31 05:21:00,0,0,Работы по обращению выполнены,0,2018-02-01 04:12:00,2018-02-08 07:55:00,1,4,21,15,194.56666666666663,458,1167,96.0
2054,"Заявка № ***********, *******************",Сервис58,2,1,270,2018-02-03 06:36,2018-01-31 05:21:00,0,0,Заявка выполнена,0,2018-02-02 00:07:00,2018-02-09 08:41:00,1,4,58,15,219.33333333333331,458,779,73.25
2055,"Заявка № ***********, *******************",Сервис21,2,1,16,2018-02-04 05:21,2018-01-31 05:21:00,0,0,Работы по обращению выполнены,0,2018-02-02 02:56:00,2018-02-09 08:56:00,1,4,21,15,219.58333333333331,458,1167,96.0
2056,Редактирование данных об окончании срока действия договора,Сервис22,3,1,271,2018-02-03 06:36,2018-01-31 05:23:00,0,0,Даты окончания срока действия отредактированы.,0,2018-01-31 07:36:00,2018-02-01 01:56:00,2,3,22,7,20.55,895,451,73.21666666666667
2057,Система26,Сервис26,2,1,166,2018-02-03 06:36,2018-01-31 05:24:00,0,0,"Добрый день, РК удалена, проект направлен исполнителю",0,2018-02-01 09:13:00,2018-02-08 10:31:00,1,3,26,27,197.11666666666667,1045,483,73.2
2058,Разблокировка учётной записи,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 05:28:00,0,0," Личность пользователя идентифицирована
Причина нарушения: Другая
Выполнена разблокировка учетной записи:  ne_Boss\***********",0,2018-01-31 05:37:00,2018-01-31 05:43:00,1,3,7,72,0.25,858,16,73.13333333333334
2059,Запрос на организацию БРМ,АРМ,3,1,237,2018-02-16 04:36,2018-01-31 05:30:00,0,0,Работы по обращению выполнены,0,2018-02-14 04:08:00,2018-02-21 07:51:00,4,4,0,19,506.35,335,1167,383.1
2060, Размещение (или удаление) файла в Общедоступных ресурсах,Сервис142,3,1,158,2018-02-03 06:36,2018-01-31 05:31:00,0,0,Выполнено,0,2018-01-31 08:48:00,2018-02-07 10:04:00,2,3,153,7,172.55,16,313,73.08333333333333
2061,Выполнена разблокировка у/з REGION\*****,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 05:35:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-31 05:35:00,2018-02-07 07:56:00,1,3,7,217,170.35,299,282,73.01666666666667
2062, Установить елку.,Сервис73,3,1,55,2018-02-03 06:36,2018-01-31 05:36:00,0,0,Елку установили.,0,2018-02-01 08:45:00,2018-02-08 10:02:00,4,4,71,32,196.4333333333333,19,670,73.0
2063,Выполнена разблокировка у/з REGION\*****,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 05:36:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-31 05:36:00,2018-02-07 07:56:00,1,3,7,13,170.33333333333334,299,282,73.0
2064,Разблокировать УЗ NE_BOSS\******,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 05:37:00,0,0,"Разблокирована УЗ NE_BOSS\**********. Пользователь ***************** идентифицирован, тел. Успешный вход выполнен.",0,2018-01-31 05:37:00,2018-02-07 07:56:00,1,3,7,147,170.31666666666666,810,1171,72.98333333333333
2065,Разблокировать учетную запись пользователя Система21,Сервис21,2,1,269,2018-02-03 06:36,2018-01-31 05:38:00,0,0,Учетная запись пользователя разблокирована,0,2018-01-31 07:35:00,2018-02-07 10:52:00,1,4,21,221,173.23333333333332,827,1354,72.96666666666667
2066,"Заявка № ***********, *******************",АРМ,3,1,16,2018-02-02 05:36,2018-01-31 05:38:00,0,0,Работы по обращению выполнены,0,2018-02-01 02:53:00,2018-02-08 07:55:00,4,4,0,15,194.28333333333333,458,1167,47.96666666666667
2067,".замена ""мыши""",АРМ,3,1,160,2018-02-03 06:36,2018-01-31 05:39:00,0,0,Замена мыши,0,2018-02-02 10:48:00,2018-02-02 10:53:00,4,3,0,20,53.23333333333333,180,725,72.95
2068, разблокировка учетной записи пользователя вСервис7,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 05:44:00,0,0," Личность пользователя идентифицирована
Причина нарушения: Другая
Выполнена разблокировка учетной записи:  ne_Boss\***********",0,2018-01-31 05:44:00,2018-02-07 07:56:00,1,3,7,26,170.2,23,16,72.86666666666666
2069,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-10 08:26,2018-01-31 05:47:00,0,0,Работы по обращению выполнены,0,2018-02-10 08:21:00,2018-02-17 09:42:00,2,4,22,24,411.9166666666667,374,1167,242.65
2070,Центральный вход - ремонт доводчика,Сервис42,3,1,100,2018-02-03 06:36,2018-01-31 05:48:00,0,0,выполнено,0,2018-01-31 13:36:00,2018-02-07 14:57:00,4,4,44,76,177.15,1137,1441,72.8
2071,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,3,1,8,2018-02-08 03:51,2018-01-31 05:51:00,0,0,Работы по обращению выполнены,0,2018-02-01 16:25:00,2018-02-09 07:54:00,4,4,43,223,218.05,374,1167,190.0
2072,Разблокировка учётной записи,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 05:53:00,0,0," 
Выполнена разблокировка УЗ NE_BOSS\******. Причина: множественный неправильный ввод значения пароля пользователем.",0,2018-01-31 06:01:00,2018-01-31 06:18:00,1,3,7,108,0.4166666666666667,858,1,72.71666666666667
2073,Настройка ЭП в Сервис22,Сервис22,3,1,24,2018-02-03 06:36,2018-01-31 05:53:00,0,0,Права предоставлены.,0,2018-01-31 15:39:00,2018-02-08 07:55:00,2,4,22,49,194.03333333333333,510,1094,72.71666666666667
2074,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-02-03 06:36,2018-01-31 05:53:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-31 06:25:00,2018-01-31 06:27:00,3,4,18,49,0.5666666666666667,514,466,72.71666666666667
2075,"Заявка № ***********, *******************",Сервис58,2,1,16,2018-02-04 05:51,2018-01-31 05:55:00,0,0,Работы по обращению выполнены,0,2018-02-01 07:35:00,2018-02-08 08:51:00,1,4,58,15,194.9333333333333,458,1167,95.93333333333334
2076,"Заявка № ***********, *******************",Сервис21,2,1,16,2018-02-04 05:51,2018-01-31 05:55:00,0,0,Заявка исполнена.,0,2018-02-01 07:36:00,2018-02-08 08:51:00,1,4,21,15,194.9333333333333,458,795,95.93333333333334
2077,Разблокировать учетную запись пользователя Система21,Сервис21,2,1,36,2018-02-03 06:36,2018-01-31 05:56:00,0,0,Пользователь разблокирован,0,2018-01-31 06:01:00,2018-02-07 07:56:00,1,4,21,41,170.0,827,1048,72.66666666666667
2078,заявкаСервис11  заменить согласующего,Сервис11,3,1,15,2018-02-03 06:36,2018-01-31 05:58:00,0,0,Замена выполнена,0,2018-01-31 06:04:00,2018-01-31 06:06:00,4,3,11,45,0.1333333333333333,1192,713,72.63333333333334
2079,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,3,1,8,2018-02-08 02:36,2018-01-31 06:00:00,0,0,Работы по обращению выполнены,0,2018-02-07 09:44:00,2018-02-14 11:03:00,4,4,43,117,341.05,374,1167,188.6
2080,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,3,1,8,2018-02-02 06:04,2018-01-31 06:04:00,0,0,Работы по обращению выполнены,0,2018-01-31 10:52:00,2018-02-01 04:03:00,2,4,101,21,21.98333333333333,374,1167,48.0
2081,Сервисы SNS#1 - Расширенные сервисы,Сервис2,3,1,70,2018-02-02 06:35,2018-01-31 06:05:00,0,0,Работы по обращению выполнены,0,2018-02-01 08:17:00,2018-02-08 09:45:00,4,3,2,166,195.66666666666663,1035,1167,48.5
2082,Выполнена разблокировка у/з REGION\*****,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 06:05:00,0,0,"Выполнена разблокировка у/з Ne_bosS\*********
Идентификация пользователя осуществлена.
Объект доступа легален.
Причина нарушения: Несколько раз неправильный ввод пароля",0,2018-01-31 06:05:00,2018-02-07 07:56:00,1,3,7,107,169.85,299,282,72.51666666666667
2083,"Заявка № ***********, *******************",АРМ,3,1,16,2018-02-04 06:06,2018-01-31 06:07:00,0,0,Работы по обращению выполнены,0,2018-02-03 01:47:00,2018-02-10 07:53:00,4,4,0,15,241.76666666666668,458,1167,95.98333333333333
2084,Запрос на организацию БРМ,АРМ,3,1,260,2018-02-04 11:36,2018-01-31 06:09:00,0,0,Работы по обращению выполнены,0,2018-02-03 13:06:00,2018-02-10 14:22:00,4,4,0,74,248.21666666666667,335,1167,101.45
2085,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис11,3,1,8,2018-02-03 03:10,2018-01-31 06:10:00,0,0,Работы по обращению выполнены,0,2018-01-31 06:31:00,2018-02-07 07:56:00,4,4,11,33,169.76666666666668,374,1167,69.0
2086,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис11,3,1,8,2018-02-03 03:12,2018-01-31 06:12:00,0,0,Работы по обращению выполнены,0,2018-01-31 07:05:00,2018-02-07 08:43:00,4,4,11,33,170.51666666666668,374,1167,69.0
2087,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис11,3,1,8,2018-02-03 03:12,2018-01-31 06:12:00,0,0,Работы по обращению выполнены,0,2018-01-31 14:35:00,2018-02-08 06:55:00,4,4,11,33,192.71666666666667,374,1167,69.0
2088,Разблокировать учетную запись пользователя Система21,Сервис21,2,1,114,2018-02-03 06:36,2018-01-31 06:13:00,0,0,Решено. Разблокировать пользователя ***** в домене ******,0,2018-01-31 06:20:00,2018-02-07 07:56:00,1,4,21,63,169.71666666666667,827,1214,72.38333333333334
2089,Отключение учётной записи,Сервис7,2,1,8,2018-02-03 06:36,2018-01-31 06:14:00,0,0,выполнено штатное отключение УЗ nE_BoSS\****************,0,2018-01-31 06:20:00,2018-02-07 07:56:00,1,4,7,38,169.7,565,1445,72.36666666666666
2090,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-02 06:19,2018-01-31 06:19:00,0,0,Работы по обращению выполнены,0,2018-01-31 13:39:00,2018-02-07 14:57:00,1,4,13,134,176.63333333333333,374,1167,48.0
2091,Разблокировать учетную запись пользователя Система21,Сервис21,2,1,193,2018-02-03 06:36,2018-01-31 06:21:00,0,0,УЗ разблокирована,0,2018-02-02 04:42:00,2018-02-09 08:56:00,1,4,21,85,218.58333333333331,827,1277,72.25
2092,Запрос на изменение учетной записи Система21,Сервис21,2,1,89,2018-02-03 06:36,2018-01-31 06:21:00,0,0,Заявка выполнена.,0,2018-01-31 06:36:00,2018-01-31 08:20:00,1,3,21,216,1.9833333333333332,334,783,72.25
2093,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-02-03 06:36,2018-01-31 06:21:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-31 06:28:00,2018-02-07 07:56:00,3,4,18,0,169.58333333333334,514,466,72.25
2094,Запрос на изменение учетной записи Система21,Сервис21,2,1,89,2018-02-03 06:36,2018-01-31 06:22:00,0,0,Заявка выполнена.,0,2018-01-31 06:41:00,2018-01-31 08:19:00,1,3,21,216,1.95,334,783,72.23333333333333
2095,Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис13,2,1,8,2018-02-02 06:23,2018-01-31 06:23:00,0,0,Работы по обращению выполнены,0,2018-01-31 13:15:00,2018-02-07 14:33:00,1,4,13,47,176.16666666666666,374,1167,48.0
2096,Письмо RandomKKKK,АРМ,3,1,196,2018-02-03 06:36,2018-01-31 06:23:00,0,0,Доступ предоставлен,0,2018-02-01 08:36:00,2018-02-02 06:22:00,4,3,0,116,47.98333333333333,731,626,72.21666666666667
2097, разблокировка учетной записи пользователя вСервис7,Сервис7,2,1,0,2018-02-03 06:36,2018-01-31 06:25:00,0,0," Личность пользователя идентифицирована
Причина нарушения: Другая
Выполнена разблокировка учетной записи:  ne_Boss\***********",0,2018-01-31 06:25:00,2018-02-07 07:56:00,1,3,7,114,169.51666666666668,23,16,72.18333333333334
2098,"Заявка № ***********, *******************",Сервис25,3,1,2,2018-02-04 06:21,2018-01-31 06:25:00,0,0,Работы по обращению выполнены,0,2018-02-01 08:44:00,2018-02-08 10:02:00,4,4,25,2,195.61666666666667,458,1167,95.93333333333334
2099,Настройка/Консультация /Техническое обслуживание,Сервис18,3,1,15,2018-02-03 06:36,2018-01-31 06:26:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-31 06:32:00,2018-01-31 06:35:00,3,3,18,38,0.15,514,466,72.16666666666667
